Month,Revenue,COGS,Gross Profit,Operating Expenses,EBIT,Tax,Net Income,Assets,Liabilities,Equity,Cash Flow,Headcount
Jan-2024,1850000,1110000,740000,320000,420000,84000,336000,8200000,3500000,4700000,285000,142
Feb-2024,1920000,1152000,768000,328000,440000,88000,352000,8350000,3480000,4870000,310000,145
Mar-2024,2100000,1260000,840000,335000,505000,101000,404000,8520000,3460000,5060000,380000,148
Apr-2024,1980000,1188000,792000,342000,450000,90000,360000,8650000,3440000,5210000,295000,148
May-2024,2250000,1350000,900000,350000,550000,110000,440000,8800000,3420000,5380000,420000,150
Jun-2024,2380000,1428000,952000,358000,594000,118800,475200,8960000,3400000,5560000,450000,152
Jul-2024,2150000,1290000,860000,355000,505000,101000,404000,9100000,3380000,5720000,365000,152
Aug-2024,2420000,1452000,968000,362000,606000,121200,484800,9250000,3360000,5890000,490000,155
Sep-2024,2580000,1548000,1032000,370000,662000,132400,529600,9400000,3340000,6060000,520000,158
Oct-2024,2350000,1410000,940000,368000,572000,114400,457600,9560000,3320000,6240000,445000,158
Nov-2024,2690000,1614000,1076000,375000,701000,140200,560800,9720000,3300000,6420000,560000,160
Dec-2024,3100000,1860000,1240000,390000,850000,170000,680000,9900000,3280000,6620000,680000,162
