Warehouse,Zone,SKU,Product Name,Category,Stock Level,Reorder Point,Lead Time Days,Unit Cost,Stock Value,Inbound Units,Outbound Units,Damaged Units,Last Replenished,Date
WH-NORTH,A1,SKU-1001,Industrial Bolt M8,Fasteners,1250,300,5,0.45,562.5,500,380,12,2024-11-01,2024-12-01
WH-NORTH,A2,SKU-1002,Steel Pipe 2inch,Pipes,340,100,7,12.5,4250,120,95,3,2024-10-25,2024-12-01
WH-NORTH,B1,SKU-1003,Safety Gloves L,PPE,890,200,3,3.2,2848,400,350,8,2024-11-15,2024-12-01
WH-SOUTH,A1,SKU-1004,Electric Cable 3m,Electrical,2100,500,4,6.8,14280,800,720,15,2024-11-10,2024-12-01
WH-SOUTH,A3,SKU-1005,Hydraulic Pump,Machinery,45,20,14,185,8325,20,18,1,2024-10-20,2024-12-01
WH-SOUTH,B2,SKU-1006,Filter Cartridge,Filtration,680,150,6,8.9,6052,250,230,5,2024-11-05,2024-12-01
WH-EAST,A1,SKU-1007,Welding Rod 3.2mm,Welding,3200,800,3,0.85,2720,1200,1100,22,2024-11-20,2024-12-01
WH-EAST,C1,SKU-1008,Bearing 6205,Bearings,560,120,5,4.2,2352,200,175,6,2024-11-12,2024-12-01
WH-EAST,C2,SKU-1009,Drill Bit Set,Tools,125,50,4,28.5,3562.5,60,48,2,2024-10-30,2024-12-01
WH-WEST,A2,SKU-1010,Lubricant Oil 5L,Lubricants,820,200,2,15.6,12792,400,385,10,2024-11-18,2024-12-01
WH-NORTH,B3,SKU-1011,Rubber Seal Kit,Seals,420,100,6,7.3,3066,180,165,4,2024-11-08,2024-12-01
WH-SOUTH,C1,SKU-1012,Motor Coupling,Couplings,85,30,10,42,3570,40,35,1,2024-10-15,2024-12-01
WH-EAST,A3,SKU-1013,Pressure Gauge,Instruments,190,60,7,18.9,3591,80,75,2,2024-11-25,2024-12-01
WH-WEST,B1,SKU-1014,Chain Drive 10B,Drives,130,40,9,62.5,8125,50,45,1,2024-10-22,2024-12-01
WH-WEST,B2,SKU-1015,Safety Helmet,PPE,760,180,2,12.4,9424,350,320,8,2024-11-14,2024-12-01
WH-NORTH,A3,SKU-1016,Hex Bolt M12,Fasteners,2800,600,5,0.65,1820,1000,950,20,2024-11-22,2024-12-01
WH-SOUTH,B3,SKU-1017,Valve Gate 2inch,Valves,95,35,12,125,11875,40,38,1,2024-10-18,2024-12-01
WH-EAST,B2,SKU-1018,Conveyor Belt 5m,Conveyor,28,10,20,245,6860,15,12,0,2024-09-30,2024-12-01
WH-WEST,C1,SKU-1019,Level Sensor,Sensors,220,80,6,35.8,7876,100,92,3,2024-11-16,2024-12-01
WH-WEST,C2,SKU-1020,Gasket Set,Gaskets,650,150,4,4.8,3120,280,265,7,2024-11-20,2024-12-01
